Time[s], BSYNC, SPI, COPY
0.48090513, 1, 0, 0
0.48090657, 1, 1, 0
0.48090663, 1, 0, 0
0.48090757, 1, 1, 0
0.48090763, 1, 0, 0
0.48090857, 1, 1, 0
0.48090863, 1, 0, 0
0.48090957, 1, 1, 0
0.48090963, 1, 0, 0
0.48091057, 1, 1, 0
0.48091063, 1, 0, 0
0.48091157, 1, 1, 0
0.48091163, 1, 0, 0
0.48091257, 1, 1, 0
0.48091263, 1, 0, 0
0.48091357, 1, 1, 0
0.48091363, 1, 0, 0
0.48093040, 1, 1, 0
0.48093064, 1, 0, 0
0.48093089, 1, 1, 0
0.48093114, 1, 0, 0
0.48093867, 0, 0, 0
0.48093972, 1, 0, 0
0.48098470, 0, 0, 0
0.48098577, 1, 0, 0
0.48103072, 0, 0, 0
0.48103173, 1, 0, 0
0.48107674, 0, 0, 0
0.48107779, 1, 0, 0
0.48112277, 0, 0, 0
0.48112378, 1, 0, 0
0.48116879, 0, 0, 0
0.48116988, 1, 0, 0
0.48121482, 0, 0, 0
0.48121583, 1, 0, 0
0.48126084, 0, 0, 0
0.48126189, 1, 0, 0
0.48126651, 1, 1, 0
0.48126682, 1, 0, 0
0.48126713, 1, 1, 0
0.48126726, 1, 0, 0
0.48126757, 1, 1, 0
0.48126782, 1, 0, 0
0.48127714, 1, 1, 0
0.48127733, 1, 0, 0
0.48129859, 1, 1, 0
0.48129884, 1, 0, 0
0.48129909, 1, 1, 0
0.48129934, 1, 0, 0
0.48130686, 0, 0, 0
0.48130788, 1, 0, 0
0.48131252, 1, 1, 0
0.48131253, 1, 0, 0
0.48131352, 1, 1, 0
0.48131353, 1, 0, 0
0.48135289, 0, 0, 0
0.48135394, 1, 0, 0
0.48139891, 0, 0, 0
0.48139996, 1, 0, 0
0.48144494, 0, 0, 0
0.48144595, 1, 0, 0
0.48145061, 1, 1, 0
0.48145092, 1, 0, 0
0.48146012, 1, 1, 0
0.48146049, 1, 0, 0
0.48148281, 1, 1, 0
0.48148294, 1, 0, 0
0.48149096, 0, 0, 0
0.48149201, 1, 0, 0
0.48149662, 1, 1, 0
0.48149663, 1, 0, 0
0.48149762, 1, 1, 0
0.48149763, 1, 0, 0
0.48150637, 1, 1, 0
0.48150638, 1, 0, 0
0.48153699, 0, 0, 0
0.48153804, 1, 0, 0
0.48158301, 0, 0, 0
0.48158406, 1, 0, 0
0.48159694, 1, 1, 0
0.48159700, 1, 0, 0
0.48159794, 1, 1, 0
0.48159800, 1, 0, 0
0.48159894, 1, 1, 0
0.48159900, 1, 0, 0
0.48159994, 1, 1, 0
0.48160000, 1, 0, 0
0.48162904, 0, 0, 0
0.48163005, 1, 0, 0
0.48163533, 1, 1, 0
0.48163545, 1, 0, 0
0.48163577, 1, 1, 0
0.48163602, 1, 0, 0
0.48164296, 1, 1, 0
0.48164302, 1, 0, 0
0.48164396, 1, 1, 0
0.48164402, 1, 0, 0
0.48164496, 1, 1, 0
0.48164502, 1, 0, 0
0.48164596, 1, 1, 0
0.48164602, 1, 0, 0
0.48166679, 1, 1, 0
0.48166703, 1, 0, 0
0.48166728, 1, 1, 0
0.48166753, 1, 0, 0
0.48167506, 0, 0, 0
0.48167611, 1, 0, 0
0.48172109, 0, 0, 0
0.48172214, 1, 0, 0
0.48176711, 0, 0, 0
0.48176816, 1, 0, 0
0.48181314, 0, 0, 0
0.48181415, 1, 0, 0
0.48185916, 0, 0, 0
0.48186018, 1, 0, 0
0.48190518, 0, 0, 0
0.48190624, 1, 0, 0
0.48195121, 0, 0, 0
0.48195222, 1, 0, 0
0.48199723, 0, 0, 0
0.48199828, 1, 0, 0
0.48200290, 1, 1, 0
0.48200321, 1, 0, 0
0.48200346, 1, 1, 0
0.48200371, 1, 0, 0
0.48200446, 1, 1, 0
