Time[s], BSYNC, VIDEO, INTENS
1.01098368, 1, 0, 0
1.01098380, 1, 1, 0
1.01098451, 1, 0, 0
1.01098463, 1, 1, 0
1.01098490, 1, 0, 0
1.01098530, 1, 1, 0
1.01098563, 1, 0, 0
1.01098574, 1, 1, 0
1.01098590, 1, 0, 0
1.01098641, 1, 1, 1
1.01098652, 1, 0, 0
1.01098697, 1, 1, 1
1.01098707, 1, 0, 0
1.01098713, 1, 1, 1
1.01098724, 1, 0, 0
1.01098752, 1, 1, 0
1.01098768, 1, 0, 0
1.01098780, 1, 1, 0
1.01098796, 1, 0, 0
1.01098808, 1, 1, 0
1.01098818, 1, 0, 0
1.01098830, 1, 1, 0
1.01098846, 1, 0, 0
1.01098858, 1, 1, 0
1.01098868, 1, 0, 0
1.01098880, 1, 1, 0
1.01098951, 1, 0, 0
1.01098963, 1, 1, 0
1.01098990, 1, 0, 0
1.01099002, 1, 1, 0
1.01099063, 1, 0, 0
1.01099074, 1, 1, 0
1.01099090, 1, 0, 0
1.01099147, 1, 1, 1
1.01099157, 1, 0, 0
1.01099163, 1, 1, 1
1.01099168, 1, 0, 0
1.01099191, 1, 1, 1
1.01099202, 1, 0, 0
1.01099219, 1, 1, 1
1.01099229, 1, 0, 0
1.01099252, 1, 1, 0
1.01099290, 1, 0, 0
1.01099302, 1, 1, 0
1.01099318, 1, 0, 0
1.01099330, 1, 1, 0
1.01099340, 1, 0, 0
1.01099352, 1, 1, 0
1.01099357, 1, 0, 0
1.01099363, 1, 1, 0
1.01099368, 1, 0, 0
1.01099380, 1, 1, 0
1.01099396, 1, 0, 0
1.01099408, 1, 1, 0
1.01099418, 1, 0, 0
1.01099430, 1, 1, 0
1.01099452, 1, 0, 0
1.01099463, 1, 1, 0
1.01099490, 1, 0, 0
1.01099502, 1, 1, 0
1.01099551, 1, 0, 0
1.01099563, 1, 1, 0
1.01099590, 1, 0, 0
1.01099647, 1, 1, 1
1.01099657, 1, 0, 0
1.01099663, 1, 1, 1
1.01099668, 1, 0, 0
1.01099691, 1, 1, 1
1.01099702, 1, 0, 0
1.01099719, 1, 1, 1
1.01099729, 1, 0, 0
1.01099741, 1, 1, 0
1.01099746, 1, 0, 0
1.01099758, 1, 1, 0
1.01099763, 1, 0, 0
1.01099774, 1, 1, 0
1.01099790, 1, 0, 0
1.01099802, 1, 1, 0
1.01099818, 1, 0, 0
1.01099830, 1, 1, 0
1.01099840, 1, 0, 0
1.01099852, 1, 1, 0
1.01099857, 1, 0, 0
1.01099863, 1, 1, 0
1.01099868, 1, 0, 0
1.01099880, 1, 1, 0
1.01099896, 1, 0, 0
1.01099908, 1, 1, 0
1.01099918, 1, 0, 0
1.01099930, 1, 1, 0
1.01099941, 1, 0, 0
1.01099952, 1, 1, 0
1.01099968, 1, 0, 0
1.01099980, 1, 1, 0
1.01099991, 1, 0, 0
1.01100002, 1, 1, 0
1.01100018, 1, 0, 0
1.01100030, 1, 1, 0
1.01100052, 1, 0, 0
1.01100063, 1, 1, 0
1.01100091, 1, 0, 0
1.01102340, 0, 0, 0
1.01102541, 1, 0, 0
1.01102942, 1, 1, 1
1.01102952, 1, 0, 0
1.01102969, 1, 1, 1
1.01102980, 1, 0, 0
1.01102991, 1, 1, 0
1.01102992, 1, 1, 1
1.01103002, 1, 0, 0
1.01103008, 1, 1, 1
1.01103019, 1, 0, 0
1.01103042, 1, 1, 0
1.01103046, 1, 0, 0
1.01103058, 1, 1, 0
1.01103096, 1, 0, 0
1.01103108, 1, 1, 0
1.01103119, 1, 0, 0
1.01103130, 1, 1, 0
1.01103146, 1, 0, 0
1.01103158, 1, 1, 0
1.01103169, 1, 0, 0
1.01103180, 1, 1, 0
1.01103252, 1, 0, 0
1.01103264, 1, 1, 0
1.01103291, 1, 0, 0
1.01103303, 1, 1, 0
1.01103319, 1, 0, 0
1.01103331, 1, 1, 0
1.01103363, 1, 0, 0
1.01103375, 1, 1, 0
1.01103391, 1, 0, 0
1.01103442, 1, 1, 1
1.01103452, 1, 0, 0
1.01103475, 1, 1, 1
1.01103480, 1, 0, 0
1.01103492, 1, 1, 1
1.01103502, 1, 0, 0
1.01103508, 1, 1, 1
1.01103519, 1, 0, 0
1.01103553, 1, 1, 0
1.01103569, 1, 0, 0
1.01103581, 1, 1, 0
1.01103596, 1, 0, 0
1.01103608, 1, 1, 0
1.01103619, 1, 0, 0
1.01103631, 1, 1, 0
1.01103647, 1, 0, 0
1.01103658, 1, 1, 0
1.01103669, 1, 0, 0
1.01103681, 1, 1, 0
1.01103752, 1, 0, 0
1.01103764, 1, 1, 0
1.01103791, 1, 0, 0
1.01103803, 1, 1, 0
1.01103824, 1, 0, 0
1.01103831, 1, 1, 0
1.01103863, 1, 0, 0
1.01103875, 1, 1, 0
1.01103891, 1, 0, 0
1.01103947, 1, 1, 1
1.01103958, 1, 0, 0
1.01103992, 1, 1, 1
1.01104002, 1, 0, 0
1.01104019, 1, 1, 1
1.01104030, 1, 0, 0
1.01104053, 1, 1, 0
1.01104074, 1, 0, 0
1.01104081, 1, 1, 0
1.01104091, 1, 0, 0
1.01104103, 1, 1, 0
1.01104119, 1, 0, 0
1.01104131, 1, 1, 0
1.01104141, 1, 0, 0
1.01104153, 1, 1, 0
1.01104158, 1, 0, 0
1.01104164, 1, 1, 0
1.01104169, 1, 0, 0
1.01104181, 1, 1, 0
1.01104197, 1, 0, 0
1.01104208, 1, 1, 0
1.01104219, 1, 0, 0
1.01104231, 1, 1, 0
1.01104252, 1, 0, 0
1.01104264, 1, 1, 0
1.01104291, 1, 0, 0
1.01104303, 1, 1, 0
1.01104352, 1, 0, 0
1.01104364, 1, 1, 0
1.01104391, 1, 0, 0
1.01104447, 1, 1, 0
1.01104448, 1, 1, 1
1.01104458, 1, 0, 0
1.01104492, 1, 1, 1
1.01104502, 1, 0, 0
1.01104519, 1, 1, 1
1.01104530, 1, 0, 0
1.01104542, 1, 1, 0
1.01104547, 1, 0, 0
1.01104558, 1, 1, 0
1.01104569, 1, 0, 0
1.01104581, 1, 1, 0
1.01104591, 1, 0, 0
1.01104603, 1, 1, 0
1.01104619, 1, 0, 0
1.01104631, 1, 1, 0
1.01104641, 1, 0, 0
1.01104653, 1, 1, 0
1.01104658, 1, 0, 0
1.01104664, 1, 1, 0
1.01104669, 1, 0, 0
1.01104681, 1, 1, 0
1.01104697, 1, 0, 0
1.01104709, 1, 1, 0
1.01104719, 1, 0, 0
1.01104731, 1, 1, 0
1.01104741, 1, 0, 0
1.01104753, 1, 1, 0
1.01104769, 1, 0, 0
1.01104781, 1, 1, 0
1.01104791, 1, 0, 0
1.01104803, 1, 1, 0
1.01104819, 1, 0, 0
1.01104831, 1, 1, 0
1.01104852, 1, 0, 0
1.01104864, 1, 1, 0
